Complexity,Loss,Equation
1,789.731,"42.4554"
2,789.73096,"cube(3.4885223)"
3,384.5731,"(3.3127642 * x0)"
5,358.8751,"((x0 * 2.7453163) + 9.512127)"
7,282.74432,"((2.4362476 + (0.07931276 * x1)) * x0)"
9,263.36105,"((2.4362476 + (0.12010876 * x1)) * (x0 - 1.756411))"
10,160.34279,"((x0 * 2.4103568) + exp((x1 * x0) * 0.011788057))"
11,97.1342,"((x0 * 2.5992405) + exp(square((0.0060896087 * x0) * x1)))"
12,97.13402,"((x0 * square(-1.6133558)) + exp(square((0.0060896087 * x0) * x1)))"
13,80.5753,"((x0 * 2.5992405) + exp(square((-0.00644644 * (x0 - 0.6374902)) * x1)))"
14,72.98384,"((x0 * 2.5992405) + square(cube(square(0.0813092) * (x1 * x0)) - 2.7453163))"
15,72.9663,"(square(cube(square(0.0813092) * (x1 * x0)) - 2.7453163) + (x0 * square(-1.6133558)))"
16,56.458405,"(square(cube(square(0.080127634) * ((x1 + 1.1511602) * x0)) - 3.1496818) + (x0 * 2.4362476))"
17,56.45838,"(square(cube(square(0.080127634) * ((x1 + inv(0.86619604)) * x0)) - 3.1496818) + (x0 * 2.4362476))"
18,54.72685,"((square(cube((square(0.080127634) * (x1 + 1.1511602)) * x0) - 3.1496818) + (x0 * 2.3125575)) + 2.5992022)"
19,54.668137,"((square(cube((square(0.080127634) * (x1 + 1.1012928)) * x0) - exp(1.1157904)) + (x0 * 2.3125575)) + 2.5992022)"
20,54.63879,"((square((cube((square(0.080127634) * (x1 + 1.1157904)) * x0) - 2.745426) + -0.36858135) + (x0 * 2.3293972)) + 2.5992022)"
